Image,Brand,Product Name,Amazon,Walmart,Target,Other Retail,Other Source,eBay Lowest,eBay Seller,Free Ship?,eBay Median,eBay Highest,eBay Count,Free Ship Count,Current Algo (70%),Suggested Price,Notes
IMG_20251231_184446.jpg,Neuro,"Vita+Mints Vitamins D3 & K2 90 Pieces",,,,51.95,BrainMD by Dr Amen,18.99,eBay,No,25,229,9,3,36.37,25,"eBay median $25, retail $51.95"
IMG_20251231_184455.jpg,Neuro,"Neuro Gum Vitamin D3 & K2 90 Pieces",,16.74,,4.69,CVS Pharmacy,3.99,eBay,No,29.99,59.99,6,3,11.72,11.72,"eBay median $29.99, retail $16.74"
IMG_20260101_185925.jpg,fur,"Ingrown Eliminator Serum 1.1 FL. OZ. (32 mL)",,17.88,,4,Mood Skin Co.,2.99,slideypocketbook,No,29,32,3,0,12.52,12.52,"eBay median $29, retail $17.88"
IMG_20260101_185955.jpg,Woosh,"Ingrown Eliminating Serum 4 oz",,,,8.99,Sliick,,,No,,,0,0,6.29,6.29,"70% of retail (no eBay competition found)"
IMG_20260101_190009.jpg,Neuro,"Energy & Focus Gum 90 Pieces",,24.99,,3.99,Instacart,23.99,eBay,Yes,43.76,59.99,14,9,17.49,17.49,"eBay median $43.76, retail $24.99"
IMG_20260101_190021.jpg,Neuro,"Neuro Gum 90 Pieces",,30.99,,3.99,Instacart,17.99,shopsonoran,Yes,32,59.99,22,11,21.69,21.69,"eBay median $32, retail $30.99"
IMG_20260101_190311.jpg,VytaDose,"NAD+ Boost Patches 30 Patches",,,,6,Natura Clinic,9.99,fuhnvhxd,Yes,16,30.29,6,6,4.2,4.2,"eBay median $16, retail $6"
IMG_20260101_190321.jpg,VytaDose,"NAD+ The Fountain of Youth 30 Patches",,,,17.98,barrière,16,eBay,Yes,29.99,29.99,2,2,12.59,12.59,"eBay median $29.99, retail $17.98"
IMG_20260101_190331.jpg,ZYN,"Turmeric Electrolyte Drink Mix 4 - 0.32 oz (9.1g) Packets",,,,1.49,SnackMagic,,,No,,,0,0,1.04,1.04,"70% of retail (no eBay competition found)"
IMG_20260101_190339.jpg,ZYM,"Strawberry Yuzu & Passion Fruit Lemonade 9 g",,,,10.99,Maceys,,,No,,,0,0,7.69,7.69,"70% of retail (no eBay competition found)"
IMG_20260101_190400.jpg,OGX,"Bond Protein Repair 3-in-1 Oil Mist 50 mL",,10.47,8.39,8.39,Target,,,No,,,0,0,7.33,7.33,"70% of retail (no eBay competition found)"
IMG_20260101_190416.jpg,OGX,"3-in-1 Oil Mist 6 fl oz",,16.5,7.99,6.96,Shein,13.95,embraceyourday,Yes,18.69,84.99,8,5,11.55,11.55,"eBay median $18.69, retail $16.5"
IMG_20260101_190434.jpg,Vita Plynxera,"Myo & D-Chiro Inositol Liquid Drops 2000 mg 60 mL",,,,,,13.99,bennys-online-emporium,Yes,14.99,28.25,4,4,,14.99,"Based on eBay median (no retail found)"
IMG_20260101_190444.jpg,Olly,"Woman's Multi 30 Count",,28.26,12.89,10.39,Face Plant,9,eBay,No,24.95,78.95,24,14,19.78,19.78,"eBay median $24.95, retail $28.26"
IMG_20260101_191851.jpg,SNAP,"Heart Health Circulation Gummies 60 Gummies",,,,14.97,Vitacost.com,,,No,,,0,0,10.48,10.48,"70% of retail (no eBay competition found)"
IMG_20260101_191904.jpg,SNAP,"Gummy Superfoods 30 Gummies",,32.92,,9,dermapro.me,,,No,,,0,0,23.04,23.04,"70% of retail (no eBay competition found)"
IMG_20260101_192435.jpg,naturewise,"HAIR GROWTH+ 15.22 FL OZ (450 ML)",,,,34.99,NatureWise,,,No,,,0,0,24.49,24.49,"70% of retail (no eBay competition found)"
IMG_20260101_192451.jpg,NatureWise,"Omega 3-6-9 30 Servings",,13.89,29.49,9.99,NatureWise,10.84,eBay,Yes,22.63,51.99,13,6,9.72,9.72,"eBay median $22.63, retail $13.89"
IMG_20260101_195120.jpg,New Chapter,"Liquid Multivitamin 30 fl oz",,,,2.39,lazyacres.com,,,No,,,0,0,1.67,1.67,"70% of retail (no eBay competition found)"
IMG_20260103_111120.jpg,New Chapter,"Whole Food Fermented Multi 120 Gummies",,,19.97,19.97,Target,,,No,,,0,0,13.98,13.98,"70% of retail (no eBay competition found)"
