categoryId,categoryName,categoryPath
"0","Root","Root"
"1","Collectibles","Root > Collectibles"
"34","Advertising","Root > Collectibles > Advertising"
"36","Soda","Root > Collectibles > Advertising > Soda"
"852","Fountain","Root > Collectibles > Advertising > Soda > Fountain"
"853","Canada Dry","Root > Collectibles > Advertising > Soda > Canada Dry"
"855","7 UP","Root > Collectibles > Advertising > Soda > 7 UP"
"856","Squirt","Root > Collectibles > Advertising > Soda > Squirt"
"857","Hires Root Beer","Root > Collectibles > Advertising > Soda > Hires Root Beer"
"877","Dr Pepper","Root > Collectibles > Advertising > Soda > Dr Pepper"
"1334","Moxie","Root > Collectibles > Advertising > Soda > Moxie"
"3897","Schweppes","Root > Collectibles > Advertising > Soda > Schweppes"
"10807","A&W","Root > Collectibles > Advertising > Soda > A&W"
"10808","Mountain Dew","Root > Collectibles > Advertising > Soda > Mountain Dew"
"10809","Orange Crush","Root > Collectibles > Advertising > Soda > Orange Crush"
"10810","Royal Crown/Nehi/Diet Rite","Root > Collectibles > Advertising > Soda > Royal Crown/Nehi/Diet Rite"
"13600","Coca-Cola","Root > Collectibles > Advertising > Soda > Coca-Cola"
"38","Other Coca-Cola Ads","Root > Collectibles > Advertising > Soda > Coca-Cola > Other Coca-Cola Ads"
"13601","Advertising-Print","Root > Collectibles > Advertising > Soda > Coca-Cola > Advertising-Print"
"13602","Banks","Root > Collectibles > Advertising > Soda > Coca-Cola > Banks"
"13603","Bottles","Root > Collectibles > Advertising > Soda > Coca-Cola > Bottles"
"13604","Cans","Root > Collectibles > Advertising > Soda > Coca-Cola > Cans"
"13605","Clocks & Radios","Root > Collectibles > Advertising > Soda > Coca-Cola > Clocks & Radios"
"13606","Glasses","Root > Collectibles > Advertising > Soda > Coca-Cola > Glasses"
"13607","Pins, Badges & Patches","Root > Collectibles > Advertising > Soda > Coca-Cola > Pins, Badges & Patches"
"13608","Signs","Root > Collectibles > Advertising > Soda > Coca-Cola > Signs"
"13609","Tins","Root > Collectibles > Advertising > Soda > Coca-Cola > Tins"
"13610","Trays","Root > Collectibles > Advertising > Soda > Coca-Cola > Trays"
"13611","Trucks & Cars","Root > Collectibles > Advertising > Soda > Coca-Cola > Trucks & Cars"
"20169","Bottle Caps","Root > Collectibles > Advertising > Soda > Coca-Cola > Bottle Caps"
"20170","Calendars","Root > Collectibles > Advertising > Soda > Coca-Cola > Calendars"
"20171","Coasters","Root > Collectibles > Advertising > Soda > Coca-Cola > Coasters"
"20172","Coolers","Root > Collectibles > Advertising > Soda > Coca-Cola > Coolers"
"20173","Decals & Stickers","Root > Collectibles > Advertising > Soda > Coca-Cola > Decals & Stickers"
"20174","Figurines","Root > Collectibles > Advertising > Soda > Coca-Cola > Figurines"
"20175","Flashlights & Keychains","Root > Collectibles > Advertising > Soda > Coca-Cola > Flashlights & Keychains"
"20176","Lunchboxes & Lunch Bags","Root > Collectibles > Advertising > Soda > Coca-Cola > Lunchboxes & Lunch Bags"
"20177","Mugs, Cups & Steins","Root > Collectibles > Advertising > Soda > Coca-Cola > Mugs, Cups & Steins"
"20178","Openers","Root > Collectibles > Advertising > Soda > Coca-Cola > Openers"
"20179","Ornaments","Root > Collectibles > Advertising > Soda > Coca-Cola > Ornaments"
"20180","Playing Cards","Root > Collectibles > Advertising > Soda > Coca-Cola > Playing Cards"
"20181","Posters & Prints","Root > Collectibles > Advertising > Soda > Coca-Cola > Posters & Prints"
"20182","Puzzles & Games","Root > Collectibles > Advertising > Soda > Coca-Cola > Puzzles & Games"
"20183","Shakers","Root > Collectibles > Advertising > Soda > Coca-Cola > Shakers"
"20184","Shirts, Jackets & Hats","Root > Collectibles > Advertising > Soda > Coca-Cola > Shirts, Jackets & Hats"
"20185","Thermometers","Root > Collectibles > Advertising > Soda > Coca-Cola > Thermometers"
"35686","Cigarette Lighters & Ashtrays","Root > Collectibles > Advertising > Soda > Coca-Cola > Cigarette Lighters & Ashtrays"
"35687","Cookie Jars & Canisters","Root > Collectibles > Advertising > Soda > Coca-Cola > Cookie Jars & Canisters"
"35688","Dishes, Bowls & Plates","Root > Collectibles > Advertising > Soda > Coca-Cola > Dishes, Bowls & Plates"
"35690","Watches","Root > Collectibles > Advertising > Soda > Coca-Cola > Watches"
"37824","Lamps & Lighting","Root > Collectibles > Advertising > Soda > Coca-Cola > Lamps & Lighting"
"37825","Magnets","Root > Collectibles > Advertising > Soda > Coca-Cola > Magnets"
"37826","Pens & Pencils","Root > Collectibles > Advertising > Soda > Coca-Cola > Pens & Pencils"
"37827","Phones","Root > Collectibles > Advertising > Soda > Coca-Cola > Phones"
"165258","Bags","Root > Collectibles > Advertising > Soda > Coca-Cola > Bags"
"165259","Books","Root > Collectibles > Advertising > Soda > Coca-Cola > Books"
"165260","Plush, Stuffed Animals","Root > Collectibles > Advertising > Soda > Coca-Cola > Plush, Stuffed Animals"
"165261","Carriers & Caddies","Root > Collectibles > Advertising > Soda > Coca-Cola > Carriers & Caddies"
"13612","Pepsi","Root > Collectibles > Advertising > Soda > Pepsi"
"854","Other Pepsi Advertisements","Root > Collectibles > Advertising > Soda > Pepsi > Other Pepsi Advertisements"
"13613","Advertising-Print","Root > Collectibles > Advertising > Soda > Pepsi > Advertising-Print"
"13614","Bottles & Cans","Root > Collectibles > Advertising > Soda > Pepsi > Bottles & Cans"
"13615","Glasses","Root > Collectibles > Advertising > Soda > Pepsi > Glasses"
"13616","Signs","Root > Collectibles > Advertising > Soda > Pepsi > Signs"
"20186","Banks","Root > Collectibles > Advertising > Soda > Pepsi > Banks"
"20187","Shirts, Jackets & Hats","Root > Collectibles > Advertising > Soda > Pepsi > Shirts, Jackets & Hats"
"20188","Trucks & Cars","Root > Collectibles > Advertising > Soda > Pepsi > Trucks & Cars"
"35691","Clocks & Radios","Root > Collectibles > Advertising > Soda > Pepsi > Clocks & Radios"
"165263","Pins, Badges & Patches","Root > Collectibles > Advertising > Soda > Pepsi > Pins, Badges & Patches"
"20189","Mixed Lots","Root > Collectibles > Advertising > Soda > Mixed Lots"
"35692","Merchandise & Memorabilia","Root > Collectibles > Advertising > Soda > Merchandise & Memorabilia"
"37","Other Soda Memorabilia","Root > Collectibles > Advertising > Soda > Merchandise & Memorabilia > Other Soda Memorabilia"
"35693","Bottle Caps","Root > Collectibles > Advertising > Soda > Merchandise & Memorabilia > Bottle Caps"
"35694","Bottles","Root > Collectibles > Advertising > Soda > Merchandise & Memorabilia > Bottles"
"35695","Cans","Root > Collectibles > Advertising > Soda > Merchandise & Memorabilia > Cans"
"35696","Glasses, Cups & Mugs","Root > Collectibles > Advertising > Soda > Merchandise & Memorabilia > Glasses, Cups & Mugs"
"35697","Labels","Root > Collectibles > Advertising > Soda > Merchandise & Memorabilia > Labels"
"35698","Signs","Root > Collectibles > Advertising > Soda > Merchandise & Memorabilia > Signs"
"170073","Patches","Root > Collectibles > Advertising > Soda > Merchandise & Memorabilia > Patches"
"165262","Dad's","Root > Collectibles > Advertising > Soda > Dad's"
"165264","Vernor’s","Root > Collectibles > Advertising > Soda > Vernor’s"
"165265","Other Soda Memorabilia","Root > Collectibles > Advertising > Soda > Other Soda Memorabilia"
"39","Gas & Oil","Root > Collectibles > Advertising > Gas & Oil"
"40","Other Gas & Oil Collectibles","Root > Collectibles > Advertising > Gas & Oil > Other Gas & Oil Collectibles"
"156204","Gas & Oil Companies","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies"
"41","Esso","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Esso"
"832","Phillips 66","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Phillips 66"
"833","Shell","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Shell"
"834","Mobil","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Mobil"
"835","Pennzoil","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Pennzoil"
"836","Tydol, Veedol & Flying A","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Tydol, Veedol & Flying A"
"837","Quaker State","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Quaker State"
"838","Chevron & Standard Oil","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Chevron & Standard Oil"
"839","Exxon","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Exxon"
"864","Humble","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Humble"
"1328","Citgo","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Citgo"
"1329","Gulf","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Gulf"
"1331","Sinclair","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Sinclair"
"1332","Sunoco","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Sunoco"
"3888","BP","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > BP"
"10801","Amoco","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Amoco"
"10802","Conoco","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Conoco"
"10803","Union 76","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Union 76"
"26264","Enron","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Enron"
"35672","Texaco","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Texaco"
"42","Other Texaco Advertisements","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Texaco > Other Texaco Advertisements"
"35673","Advertising-Print","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Texaco > Advertising-Print"
"35674","Banks","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Texaco > Banks"
"35675","Cans & Buckets","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Texaco > Cans & Buckets"
"35676","Trucks & Cars","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Texaco > Trucks & Cars"
"35677","Signs","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Texaco > Signs"
"165251","Miniatures","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Texaco > Miniatures"
"35678","Valvoline","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Valvoline"
"35879","Hess","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Hess"
"1330","Unspecified, Unknown Date","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Hess > Unspecified, Unknown Date"
"35881","Pre-1980","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Hess > Pre-1980"
"35882","1980-89","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Hess > 1980-89"
"35883","1990-94","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Hess > 1990-94"
"35884","1995-99","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Hess > 1995-99"
"35885","2000-Now","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Hess > 2000-Now"
"165243","Atlantic","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Atlantic"
"165244","Castrol","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Castrol"
"165245","Eagle","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Eagle"
"165246","Pure Oil Company","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Pure Oil Company"
"165247","Mixed Lots","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Mixed Lots"
"165248","Other Gas & Oil Company Ads","Root > Collectibles > Advertising > Gas & Oil > Gas & Oil Companies > Other Gas & Oil Company Ads"
"165249","Merchandise & Memorabilia","Root > Collectibles > Advertising > Gas & Oil > Merchandise & Memorabilia"
"35680","Advertising-Print","Root > Collectibles > Advertising > Gas & Oil > Merchandise & Memorabilia > Advertising-Print"
"35681","Banks","Root > Collectibles > Advertising > Gas & Oil > Merchandise & Memorabilia > Banks"
"35682","Cans & Buckets","Root > Collectibles > Advertising > Gas & Oil > Merchandise & Memorabilia > Cans & Buckets"
"35683","Trucks & Cars","Root > Collectibles > Advertising > Gas & Oil > Merchandise & Memorabilia > Trucks & Cars"
"35684","Signs","Root > Collectibles > Advertising > Gas & Oil > Merchandise & Memorabilia > Signs"
"50711","Patches","Root > Collectibles > Advertising > Gas & Oil > Merchandise & Memorabilia > Patches"
"156205","Stickers & Decals","Root > Collectibles > Advertising > Gas & Oil > Merchandise & Memorabilia > Stickers & Decals"
"165250","Other Gas & Oil Memorabilia","Root > Collectibles > Advertising > Gas & Oil > Merchandise & Memorabilia > Other Gas & Oil Memorabilia"
"827","Agriculture","Root > Collectibles > Advertising > Agriculture"
"828","Other Agricultural Ads","Root > Collectibles > Advertising > Agriculture > Other Agricultural Ads"
"830","Allis Chalmers","Root > Collectibles > Advertising > Agriculture > Allis Chalmers"
"831","International Harvester","Root > Collectibles > Advertising > Agriculture > International Harvester"
"1333","Seed & Feed Companies","Root > Collectibles > Advertising > Agriculture > Seed & Feed Companies"
"3884","Case","Root > Collectibles > Advertising > Agriculture > Case"
"13545","Caterpillar","Root > Collectibles > Advertising > Agriculture > Caterpillar"
"13546","Ford","Root > Collectibles > Advertising > Agriculture > Ford"
"13547","Massey Ferguson","Root > Collectibles > Advertising > Agriculture > Massey Ferguson"
"35627","John Deere","Root > Collectibles > Advertising > Agriculture > John Deere"
"829","Other John Deere Collectibles","Root > Collectibles > Advertising > Agriculture > John Deere > Other John Deere Collectibles"
"35628","Advertising-Print","Root > Collectibles > Advertising > Agriculture > John Deere > Advertising-Print"
"35629","Brochures & Catalogs","Root > Collectibles > Advertising > Agriculture > John Deere > Brochures & Catalogs"
"35630","Hats & Caps","Root > Collectibles > Advertising > Agriculture > John Deere > Hats & Caps"
"35631","Lunch Boxes","Root > Collectibles > Advertising > Agriculture > John Deere > Lunch Boxes"
"35632","Manuals","Root > Collectibles > Advertising > Agriculture > John Deere > Manuals"
"35633","Ornaments","Root > Collectibles > Advertising > Agriculture > John Deere > Ornaments"
"35634","Signs","Root > Collectibles > Advertising > Agriculture > John Deere > Signs"
"95111","Cups, Mugs & Steins","Root > Collectibles > Advertising > Agriculture > John Deere > Cups, Mugs & Steins"
"95112","Diecast & Toys","Root > Collectibles > Advertising > Agriculture > John Deere > Diecast & Toys"
"95113","Lighting & Lamps","Root > Collectibles > Advertising > Agriculture > John Deere > Lighting & Lamps"
"95114","Pocket Knives","Root > Collectibles > Advertising > Agriculture > John Deere > Pocket Knives"
"165193","Apparel","Root > Collectibles > Advertising > Agriculture > John Deere > Apparel"
"165194","Banks","Root > Collectibles > Advertising > Agriculture > John Deere > Banks"
"165195","Belts & Belt Buckles","Root > Collectibles > Advertising > Agriculture > John Deere > Belts & Belt Buckles"
"165196","Coasters","Root > Collectibles > Advertising > Agriculture > John Deere > Coasters"
"165197","License Plates","Root > Collectibles > Advertising > Agriculture > John Deere > License Plates"
"165198","Tableware","Root > Collectibles > Advertising > Agriculture > John Deere > Tableware"
"165199","Posters, Prints & Paintings","Root > Collectibles > Advertising > Agriculture > John Deere > Posters, Prints & Paintings"
"35635","Minneapolis-Moline","Root > Collectibles > Advertising > Agriculture > Minneapolis-Moline"
"35636","Oliver","Root > Collectibles > Advertising > Agriculture > Oliver"
"849","Restaurants & Fast Food","Root > Collectibles > Advertising > Restaurants & Fast Food"
"850","Other Restaurant Ads","Root > Collectibles > Advertising > Restaurants & Fast Food > Other Restaurant Ads"
"851","Big Boy","Root > Collectibles > Advertising > Restaurants & Fast Food > Big Boy"
"20168","Burger King","Root > Collectibles > Advertising > Restaurants & Fast Food > Burger King"
"21100","Planet Hollywood","Root > Collectibles > Advertising > Restaurants & Fast Food > Planet Hollywood"
"21101","Hard Rock Café","Root > Collectibles > Advertising > Restaurants & Fast Food > Hard Rock Café"
"35667","McDonald's","Root > Collectibles > Advertising > Restaurants & Fast Food > McDonald's"
"13592","Other McDonald's Ads","Root > Collectibles > Advertising > Restaurants & Fast Food > McDonald's > Other McDonald's Ads"
"35668","Mugs & Cups","Root > Collectibles > Advertising > Restaurants & Fast Food > McDonald's > Mugs & Cups"
"35669","Pins","Root > Collectibles > Advertising > Restaurants & Fast Food > McDonald's > Pins"
"35670","Plates","Root > Collectibles > Advertising > Restaurants & Fast Food > McDonald's > Plates"
"35671","Taco Bell","Root > Collectibles > Advertising > Restaurants & Fast Food > Taco Bell"
"167975","Arby's","Root > Collectibles > Advertising > Restaurants & Fast Food > Arby's"
"167976","Dairy Queen","Root > Collectibles > Advertising > Restaurants & Fast Food > Dairy Queen"
"167977","Hooters","Root > Collectibles > Advertising > Restaurants & Fast Food > Hooters"
"167978","Pizza Hut","Root > Collectibles > Advertising > Restaurants & Fast Food > Pizza Hut"
"167979","Waffle House","Root > Collectibles > Advertising > Restaurants & Fast Food > Waffle House"
"167980","Wendy's","Root > Collectibles > Advertising > Restaurants & Fast Food > Wendy's"
